Backup Manifest
Created: 20251207_011437
Study: cappuccino_week_20251206
Top N: 50
Backed Up: 0
Missing: 0

Backed up trials:
18|0.00569590024390145
23|0.00394758451779118
43|0.000819363590841161
26|0.000815119804579063
41|0.000807725674999332
42|0.000807451348026118
19|0.00075343114363206
22|0.000708037558561172
25|0.000563387792776863
34|0.000235501523368263
30|2.49990151186385e-05
33|-0.00013909678959957
29|-0.000504718593125395
20|-0.000614556370712515
36|-0.000942739263272979
24|-0.00111277103351177
39|-0.00157214161459965
38|-0.0016087088542006
21|-0.00183651870680218
40|-0.00361127452772952
32|-0.00454316594130655
37|-0.00468931326611385
31|-0.00484428170002816
35|-0.00487578897409448
27|-0.00564266247226878
28|-0.0176389525613705
